[Name]
random_HR_profile
[Data]
time,HR
0,3812.0499319341548
60,4049.4550878001046
120,4340.30325072662
180,4653.975049637863
240,4959.379164136136
300,5227.931977930998
360,5436.234902707143
420,5568.193263620458
480,5616.377327746736
540,5582.501912684184
600,5476.988538000824
660,5317.664657524212
720,5127.7392381506215
780,4933.264528101351
840,4760.343389320884
900,4632.365242009038
960,4567.549222741286
1020,4577.041100403338
1080,4663.754052814957
1140,4822.06820570195
1200,5038.417341640674
1260,5292.701974011659
1320,5560.384887316535
1380,5815.056501425175
1440,6031.209837985472
1500,6186.943179673091
1560,6266.314891473819
1620,6261.108723951132
1680,6171.825936304868
1740,6007.797068665874
1800,5786.393634953309
1860,5531.409784007439
1920,5270.76722550675
1980,5033.765200671094
2040,4848.144192868677
2100,4737.252721844208
2160,4717.598818690873
2220,4797.032290769424
2280,4973.744033531766
2340,5236.1902034488485
2400,5563.959642161335
2460,5929.511239340676
2520,6300.622887280306
2580,6643.323630142609
2640,6925.032417081751
2700,7117.605285652329
2760,7200.0
2820,7160.302517912124
2880,6996.919791424916
2940,6718.82253184207
3000,6344.81205313295
3060,5901.878399139157
3120,5422.803652842413
3180,4943.236231845157
3240,4498.512140430324
3300,4120.522734713581
3360,3834.9233062101243
3420,3658.9432451667717
3480,3600.0
3540,3655.2412194803214
3600,3812.0499319341557
